name,taxid,preferred name,phylum,class,order,family,genus
Bifidobacterium magnum,1692, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Bacteroides gallinarum,376806, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Atopobium vaginae,82135,Fannyhessea vaginae,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Fannyhessea
Streptococcus pseudoporcinus,361101, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Bacteroides graminisolvens,477666, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Xanthobacteraceae bacterium,2021379, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,na
Lactobacillus kefiranofaciens,267818, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Endozoicomonas elysicola,305900, ,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
Bacillus boroniphilus,308892,Mesobacillus boroniphilus,Bacillota,Bacilli,Bacillales,Bacillaceae,Mesobacillus
Sphingomonas paucimobilis,13689, ,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Lysinibacillus sphaericus,1421, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus
Porphyromonas uenonis,281920, ,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Cytophaga fermentans,982,Saccharicrinis fermentans,Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Saccharicrinis
Carnobacterium jeotgali,545534, ,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Streptococcus urinalis,149016, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Prevotella corporis,28128, ,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Treponema socranskii,53419, ,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema
Paracoccus pantotrophus,82367, ,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus
Bifidobacterium ruminantium,78346, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Atopobium minutum,1381, ,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium
Herbaspirillum seropedicae,964, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
Prevotella marshii,189722,Hoylesella marshii,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella
Enterobacter hormaechei,158836, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Clostridium carboxidivorans,217159, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Lactobacillus fabifermentans,483011,Lactiplantibacillus fabifermentans,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
Brochothrix thermosphacta,2756, ,Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix
Candidatus Ruthia,1541743,Candidatus Ruthturnera,Pseudomonadota,Gammaproteobacteria,na,na,na
Staphylococcus massiliensis,555791, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Pseudomonas bauzanensis,653930,Halopseudomonas bauzanensis,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas
Staphylococcus caprae,29380, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Nocardia seriolae,37332, ,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia
Chlorogloeopsis fritschii,1124, ,Cyanobacteriota,Cyanophyceae,Nostocales,Chlorogloeopsidaceae,Chlorogloeopsis
Bartonella grahamii,33045, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
Lonsdalea quercina,71657, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Lonsdalea
Streptomyces pluripotens,1355015, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Thermobifida fusca,2021, ,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Thermobifida
Clostridium ultunense,45497,Schnuerera ultunensis,Bacillota,Tissierellia,Tissierellales,Tepidimicrobiaceae,Schnuerera
Fluoribacter dumoffii,463, ,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Fluoribacter
Candidatus Photodesmus,1076727, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,na
Porphyromonadaceae bacterium,2049046, ,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,na
Clostridium stercorarium,1510,Thermoclostridium stercorarium,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Thermoclostridium
Gluconacetobacter diazotrophicus,33996, ,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter
Turicibacter sanguinis,154288, ,Bacillota,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter
endosymbiont of, , ,na,na,na,na,na
Legionella oakridgensis,29423, ,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Leuconostoc gasicomitatum,115778, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Streptomyces xanthophaeus,67385, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Pseudomonas taiwanensis,470150, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Actinobacillus suis,716, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Helicobacter suis,104628, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Saccharomonospora viridis,1852, ,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora
Rickettsia bellii,33990, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
Actinoalloteichus cyanogriseus,2893586,Actinoalloteichus caeruleus,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus
Bacillus badius,1455, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Helicobacter typhlonius,76936, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Streptomyces viridosporus,67581, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Bordetella trematum,123899, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
Phocaeicola abscessus,555313, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola
Mogibacterium timidum,35519, ,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium
Bacillus ginsengihumi,363870,Heyndrickxia ginsengihumi,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia
Tatumella ptyseos,82987, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella
Desulfitobacterium dehalogenans,36854, ,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium
Rhodococcus rhodochrous,1829, ,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus
Bacillus oceanisediminis,665099,Cytobacillus oceanisediminis,Bacillota,Bacilli,Bacillales,Bacillaceae,Cytobacillus
Treponema phagedenis,162, ,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema
Enterobacter radicincitans,283686,Kosakonia radicincitans,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia
Yersinia intermedia,631, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
Bacteroides caccae,47678, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Staphylococcus arlettae,29378, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Candidatus Microthrix,41949, ,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,na
Bacillus clausii,79880,Shouchella clausii,Bacillota,Bacilli,Bacillales,Bacillaceae,Shouchella
Leuconostoc gelidum,1244, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Acidithiobacillus caldus,33059, ,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
Clostridium clariflavum,288965,Acetivibrio clariflavus,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio
Arthrospira maxima,129910,Limnospira maxima,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae,Limnospira
Haemophilus sputorum,1078480, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
Borrelia valaisiana,62088,Borreliella valaisiana,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella
Mycobacterium austroafricanum,39687,Mycolicibacterium austroafricanum,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium
Chlamydophila abortus,83555,Chlamydia abortus,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Pseudomonas fragi,296, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Lactobacillus animalis,1605,Ligilactobacillus animalis,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Desulfotomaculum nigrificans,1565, ,Bacillota,Clostridia,Eubacteriales,Desulfotomaculaceae,Desulfotomaculum
Burkholderia zhejiangensis,871203,Caballeronia zhejiangensis,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia
Actinomyces urogenitalis,103621, ,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces
Prevotella bryantii,77095,Segatella bryantii,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella
Propionibacterium acidipropionici,1748,Acidipropionibacterium acidipropionici,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium
Weissella koreensis,165096, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella
Lactobacillus florum,640331,Fructilactobacillus florum,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus
Lactobacillus vini,238015,Liquorilactobacillus vini,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus
Robinsoniella peoriensis,180332, ,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Robinsoniella
Sediminibacillus halophilus,482461, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Sediminibacillus
Corynebacterium glucuronolyticum,39791, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Streptomyces baarnensis,66872, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Bacillus endophyticus,135735,Priestia endophytica,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia
Sporolactobacillus terrae,269673, ,Bacillota,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus
Eremococcus coleocola,88132, ,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Eremococcus
Paenibacillus odorifer,189426, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Chryseobacterium indologenes,253, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium
Streptococcus hongkongensis,910939, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Algibacter lectus,221126, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter
Melissococcus plutonius,33970, ,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus
Pectobacterium betavasculorum,55207, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
Listeriaceae bacterium, , ,na,na,na,na,na
Pseudomonas thermotolerans,157784, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Desulfovibrio alaskensis,58180,Oleidesulfovibrio alaskensis,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Oleidesulfovibrio
Virgibacillus halodenitrificans,1482, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus
Bacteroides eggerthii,28111, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Geobacter sulfurreducens,35554, ,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter
Alcanivorax borkumensis,59754, ,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
Geobacillus caldoxylosilyticus,81408,Saccharococcus caldoxylosilyticus,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Saccharococcus
Pseudomonas poae,200451, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Caulobacter henricii,69395, ,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Pseudomonas tolaasii,29442, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Porphyromonas gingivicanis,266762, ,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Paenibacillus vortex,71995, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Alicycliphilus denitrificans,179636, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus
Pseudomonas nitroreducens,46680, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Lysinibacillus boronitolerans,309788, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus
Clostridium cf., , ,na,na,na,na,na
Lactobacillus curvatus,28038,Latilactobacillus curvatus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus
Pectobacterium atrosepticum,29471, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
Yokenella regensburgei,158877, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yokenella
Curtobacterium flaccumfaciens,2035, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium
Streptomyces olivaceus,47716, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Lactobacillus equi,137357,Ligilactobacillus equi,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Prauserella rugosa,43354, ,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Prauserella
Rickettsia canadensis,788, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
Corynebacterium vitaeruminis,38305, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Alloscardovia omnicolens,419015, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia
Kocuria polaris,136273,Kocuria rosea subsp. polaris,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria
Methylomicrobium agile,39774, ,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium
Saccharomonospora azurea,40988, ,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora
Thermosipho africanus,2421, ,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho
Exiguobacterium acetylicum,41170, ,Bacillota,Bacilli,Bacillales,na,Exiguobacterium
Bacteroides salyersiae,291644, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Arthrobacter aurescens,43663,Paenarthrobacter aurescens,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter
Cloacibacillus evryensis,508460, ,Synergistota,Synergistia,Synergistales,Synergistaceae,Cloacibacillus
Methylococcus capsulatus,414, ,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus
Brevibacillus thermoruber,33942, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
Actinomyces georgiae,52768,Schaalia georgiae,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia
Holospora undulata,1169117, ,Pseudomonadota,Alphaproteobacteria,Holosporales,Holosporaceae,Holospora
Olsenella uli,133926, ,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella
Desulfovibrio desulfuricans,876, ,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Microbacterium laevaniformans,36807, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium
Thermus oshimai,56957, ,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus
Parabacteroides johnsonii,387661, ,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Snodgrassella alvi,1196083, ,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella
Methylobacterium oryzae,334852, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium
Streptomyces purpeofuscus,67352,Kitasatospora purpeofusca,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora
Staphylococcus simulans,1286, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Akkermansia muciniphila,239935, ,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Moorella thermoacetica,1525, ,Bacillota,Clostridia,Moorellales,Moorellaceae,Moorella
Serratia symbiotica,138074, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Gluconacetobacter rhaeticus,215221,Komagataeibacter rhaeticus,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter
Bdellovibrio bacteriovorus,959, ,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,Bdellovibrio
Anaerostipes caccae,105841, ,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes
Alistipes onderdonkii,328813, ,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Chromobacterium violaceum,536, ,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
Ruminococcus lactaris,46228,[Ruminococcus] lactaris,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter
Mycobacterium gilvum,1804,Mycolicibacterium gilvum,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium
Nocardiopsis halophila,141692, ,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Nocardiopsis
Rhizobium tropici,398, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium
Helicobacter hepaticus,32025, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Hallella seregens,52229, ,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hallella
Listeria grayi,1641, ,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria
Lactobacillus oris,1632,Limosilactobacillus oris,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Glaciecola mesophila,197222,Paraglaciecola mesophila,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola
Cupriavidus taiwanensis,164546, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
Variovorax paradoxus,34073, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
Haemophilus somnus,731,Histophilus somni,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus
Chromohalobacter israelensis,141390, ,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter
Ruminococcus flavefaciens,1265, ,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus
Lachnospira multipara,28051, ,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira
Bartonella washoensis,186739,Candidatus Bartonella washoeensis,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
Prevotella pleuritidis,407975,Hoylesella pleuritidis,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella
Exiguobacterium antarcticum,132920, ,Bacillota,Bacilli,Bacillales,na,Exiguobacterium
Mesorhizobium loti,381, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium
Corynebacterium urealyticum,43771, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Thermodesulfovibrio yellowstonii,28262, ,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio
Veillonella montpellierensis,187328, ,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella
Bacillus isronensis,412383,Solibacillus isronensis,Bacillota,Bacilli,Bacillales,Caryophanaceae,Solibacillus
Streptococcus vestibularis,1343, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Blautia hansenii,1322, ,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Alistipes finegoldii,214856, ,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Pseudomonas alcaligenes,43263,Aquipseudomonas alcaligenes,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Aquipseudomonas
Bacillus cibi,246786,Metabacillus indicus,Bacillota,Bacilli,Bacillales,Bacillaceae,Metabacillus
Novosphingobium resinovorum,158500, ,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Dermacoccus nishinomiyaensis,1274, ,Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Dermacoccus
Microbacterium paraoxydans,199592, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium
Anaeromusa acidaminophila,81464, ,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Anaeromusa
[Eubacterium] cylindroides,39483,Faecalitalea cylindroides,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea
Paenibacillus lactis,228574, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Paenibacillus barengoltzii,343517, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Serratia proteamaculans,28151, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Carboxydothermus ferrireducens,54265, ,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
Treponema vincentii,69710, ,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema
Erysipelothrix rhusiopathiae,1648, ,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
Lactobacillus saerimneri,228229,Ligilactobacillus saerimneri,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Lactobacillus equicursoris,420645, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Opitutaceae bacterium,2006848, ,Verrucomicrobiota,Opitutia,Opitutales,Opitutaceae,na
Arthrobacter nicotinovorans,29320,Paenarthrobacter nicotinovorans,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter
Actinomyces massiliensis,461393, ,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces
Porphyromonas asaccharolytica,28123, ,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Sulfobacillus thermosulfidooxidans,28034, ,Bacillota,Clostridia,Eubacteriales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus
Geobacillus subterraneus,129338, ,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus
Burkholderia graminis,60548,Paraburkholderia graminis,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
Laribacter hongkongensis,168471, ,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Laribacter
Kocuria palustris,71999, ,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria
Coprobacter fastidiosus,1099853, ,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter
Burkholderiales bacterium,1891238, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,na,na
Campylobacter subantarcticus,497724, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Caldanaerobacter subterraneus,911092, ,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter
Carnobacterium inhibens,147709, ,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Lactobacillus kunkeei,148814,Apilactobacillus kunkeei,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus
Mariprofundus ferrooxydans,314344, ,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus
Leptospira meyeri,29508, ,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Mycobacterium cosmeticum,258533,Mycolicibacterium cosmeticum,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium
Burkholderia cepacia,292, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Dialister micraerophilus,309120, ,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister
Bacteroides stercoris,46506, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Burkholderia fungorum,134537,Paraburkholderia fungorum,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
Thalassolituus oleivorans,187493, ,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus
Oligella urethralis,90245, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella
Trueperella pyogenes,1661, ,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Trueperella
Selenomonas noxia,135083, ,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas
Phaeobacter daeponensis,405746,Leisingera daeponensis,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Leisingera
Microbacterium hominis,162426, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium
Sutterella wadsworthensis,40545, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
Pseudomonas synxantha,47883, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
